Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,42.139999,43.500000,41.900002,43.279999,43.279999,18131200
2018-01-03,43.720001,43.900002,43.111000,43.509998,43.509998,12451000
2018-01-04,43.959999,44.080002,43.130001,43.669998,43.669998,9994200
2018-01-05,44.000000,45.830002,43.889999,45.639999,45.639999,18182600
2018-01-08,45.674999,46.500000,45.560001,46.099998,46.099998,14483400
2018-01-09,46.490002,46.799999,45.790001,46.130001,46.130001,12380900
2018-01-10,45.439999,46.500000,45.169998,46.450001,46.450001,11890800
2018-01-11,46.500000,46.730000,45.820000,46.610001,46.610001,9719200
2018-01-12,46.680000,47.230000,46.285000,46.400002,46.400002,9367200
2018-01-16,47.320000,47.400002,45.919998,46.459999,46.459999,13359700
2018-01-17,46.900002,46.930000,46.020000,46.610001,46.610001,6980700
2018-01-18,46.689999,46.799999,45.599998,45.900002,45.900002,10400900
2018-01-19,46.150002,46.400002,45.570000,46.020000,46.020000,6650600
2018-01-22,45.509998,45.599998,43.340000,45.259998,45.259998,18430400
2018-01-23,45.400002,45.700001,44.340000,45.180000,45.180000,13589700
2018-01-24,45.430000,47.939999,45.419998,46.740002,46.740002,20874600
2018-01-25,46.740002,47.740002,46.349998,47.380001,47.380001,14501100
2018-01-26,48.230000,50.549999,48.105999,50.500000,50.500000,25705400
2018-01-29,50.599998,50.680000,49.709999,49.939999,49.939999,15783500
2018-01-30,48.750000,49.430000,48.220001,49.259998,49.259998,13418000
2018-01-31,49.740002,50.169998,49.035000,49.230000,49.230000,18376300
2018-02-01,46.889999,49.250000,45.500000,47.549999,47.549999,19814400
2018-02-02,47.990002,48.020000,45.919998,46.029999,46.029999,15944200
2018-02-05,45.029999,47.639999,44.110001,44.599998,44.599998,19415700
2018-02-06,43.060001,45.299999,42.599998,45.049999,45.049999,20648900
2018-02-07,44.970001,45.330002,44.220001,44.389999,44.389999,14960200
2018-02-08,44.840000,44.840000,42.169998,42.250000,42.250000,16458400
2018-02-09,42.619999,43.410000,40.930000,42.930000,42.930000,18336700
2018-02-12,43.680000,44.095001,43.040001,43.720001,43.720001,11475800
2018-02-13,43.770000,44.740002,43.570000,44.549999,44.549999,8432100
2018-02-14,44.840000,47.250000,44.720001,46.860001,46.860001,16727000
2018-02-15,47.779999,47.910000,46.259998,47.110001,47.110001,9799800
2018-02-16,47.099998,47.299999,46.299999,46.419998,46.419998,7340900
2018-02-20,46.340000,47.919998,46.299999,46.930000,46.930000,10756800
2018-02-21,47.529999,48.799999,47.130001,47.160000,47.160000,14555600
2018-02-22,47.930000,48.009998,47.160000,47.810001,47.810001,9622200
2018-02-23,48.220001,48.360001,47.480000,48.349998,48.349998,9730500
2018-02-26,49.000000,49.000000,48.189999,48.799999,48.799999,9126900
2018-02-27,48.570000,48.720001,46.990002,47.040001,47.040001,12688600
2018-02-28,47.459999,48.180000,46.799999,47.150002,47.150002,12227800
2018-03-01,47.099998,47.650002,45.049999,46.209999,46.209999,15883200
2018-03-02,42.980000,43.990002,41.799999,43.799999,43.799999,34897000
2018-03-05,43.369999,43.650002,41.889999,42.990002,42.990002,22091000
2018-03-06,43.529999,43.709999,42.689999,43.139999,43.139999,14014400
2018-03-07,42.799999,44.540001,42.610001,44.410000,44.410000,11848600
2018-03-08,44.509998,45.709999,44.500000,45.389999,45.389999,15116800
2018-03-09,45.709999,46.130001,45.290001,45.709999,45.709999,10069700
2018-03-12,46.020000,46.310001,45.450001,46.009998,46.009998,8896200
2018-03-13,46.000000,46.000000,43.900002,44.320000,44.320000,15869300
2018-03-14,44.384998,45.150002,44.049999,44.090000,44.090000,11801600
2018-03-15,45.080002,45.480000,44.380001,44.939999,44.939999,14166500
2018-03-16,44.990002,45.220001,44.750000,44.970001,44.970001,14659400
2018-03-19,44.259998,44.689999,43.430000,44.150002,44.150002,19223700
2018-03-20,44.240002,44.360001,43.750000,44.000000,44.000000,11270600
2018-03-21,44.360001,44.669998,43.400002,43.509998,43.509998,14568900
2018-03-22,42.939999,43.060001,41.599998,42.509998,42.509998,18312600
2018-03-23,42.299999,42.889999,40.660999,40.869999,40.869999,18935900
2018-03-26,41.970001,42.400002,41.000000,41.849998,41.849998,13573800
2018-03-27,42.200001,42.290001,40.330002,40.709999,40.709999,15262400
2018-03-28,40.340000,40.400002,39.119999,40.009998,40.009998,21590700
2018-03-29,40.240002,41.000000,40.180000,40.490002,40.490002,11619600
2018-04-02,40.090000,40.520000,38.680000,39.080002,39.080002,14019000
2018-04-03,39.599998,39.660000,38.439999,38.980000,38.980000,9496700
2018-04-04,37.799999,39.630001,37.751999,39.439999,39.439999,11933700
2018-04-05,40.000000,40.439999,39.910000,40.189999,40.189999,10002800
2018-04-06,39.549999,40.040001,38.910000,39.230000,39.230000,12637000
2018-04-09,39.889999,41.049999,39.560001,40.070000,40.070000,9335200
2018-04-10,41.270000,41.299999,40.180000,40.700001,40.700001,7605100
2018-04-11,40.439999,41.049999,40.410000,40.459999,40.459999,6299600
2018-04-12,40.630001,40.994999,40.419998,40.599998,40.599998,5957300
2018-04-13,40.400002,40.520000,39.580002,39.799999,39.799999,8288500
2018-04-16,39.889999,40.070000,39.490002,39.930000,39.930000,5445300
2018-04-17,40.119999,40.580002,39.810001,40.270000,40.270000,9740200
2018-04-18,40.500000,40.500000,39.509998,40.180000,40.180000,9516600
2018-04-19,40.139999,40.340000,38.610001,38.900002,38.900002,16780100
2018-04-20,37.340000,37.490002,36.500000,37.439999,37.439999,25691700
2018-04-23,37.410000,37.759998,36.740002,37.000000,37.000000,12407800
2018-04-24,37.369999,37.549999,35.459999,35.869999,35.869999,19627300
2018-04-25,35.790001,36.240002,34.880001,35.880001,35.880001,10914300
2018-04-26,36.130001,36.900002,36.115002,36.500000,36.500000,9146300
2018-04-27,37.099998,37.188000,36.330002,36.759998,36.759998,8360300
2018-04-30,37.080002,37.090000,36.150002,36.509998,36.509998,8537900
2018-05-01,36.299999,37.500000,36.290001,37.470001,37.470001,10001100
2018-05-02,37.270000,37.494999,36.939999,37.080002,37.080002,8285200
2018-05-03,36.900002,37.439999,36.200001,37.200001,37.200001,11486400
2018-05-04,36.549999,37.849998,36.400002,37.669998,37.669998,14010700
2018-05-07,38.240002,38.910000,38.000000,38.720001,38.720001,19097200
2018-05-08,38.180000,38.290001,36.549999,36.939999,36.939999,26166400
2018-05-09,36.750000,37.400002,36.509998,37.139999,37.139999,13651200
2018-05-10,37.139999,37.252998,36.700001,36.849998,36.849998,9592100
2018-05-11,37.020000,37.200001,36.689999,36.950001,36.950001,6867200
2018-05-14,37.250000,37.759998,37.070000,37.169998,37.169998,8145800
2018-05-15,36.730000,36.930000,35.930000,36.119999,36.119999,11197100
2018-05-16,36.400002,36.755001,36.160000,36.430000,36.430000,9408400
2018-05-17,36.340000,36.740002,35.687000,35.959999,35.959999,10110100
2018-05-18,36.000000,36.020000,35.549999,35.709999,35.709999,9266900
2018-05-21,36.209999,36.950001,36.070000,36.279999,36.279999,13780800
2018-05-22,36.270000,36.869999,36.270000,36.360001,36.360001,9000100
2018-05-23,36.180000,37.180000,36.009998,36.720001,36.720001,18619500
2018-05-24,36.900002,37.139999,36.480000,36.700001,36.700001,13873000
2018-05-25,36.799999,37.150002,36.750000,36.869999,36.869999,7838000
2018-05-29,36.700001,37.000000,36.099998,36.529999,36.529999,9715400
2018-05-30,36.349998,36.540001,35.669998,35.799999,35.799999,10801600
2018-05-31,35.930000,36.020000,34.759998,35.180000,35.180000,20143500
2018-06-01,35.570000,36.259998,35.540001,36.090000,36.090000,12420400
2018-06-04,36.490002,38.180000,36.382000,38.160000,38.160000,20428800
2018-06-05,39.000000,39.459999,38.509998,38.869999,38.869999,19386900
2018-06-06,39.250000,40.680000,39.200001,40.400002,40.400002,21989200
2018-06-07,40.790001,40.840000,38.919998,39.500000,39.500000,13793200
2018-06-08,38.990002,40.410000,38.959999,39.919998,39.919998,12679800
2018-06-11,40.080002,40.080002,39.230000,39.639999,39.639999,8980100
2018-06-12,39.860001,41.470001,39.700001,41.470001,41.470001,16751900
2018-06-13,41.459999,41.880001,40.562000,41.250000,41.250000,15571200
2018-06-14,41.119999,43.959999,41.110001,43.750000,43.750000,28735700
2018-06-15,42.810001,43.880001,42.049999,43.590000,43.590000,24615500
2018-06-18,45.029999,45.230000,43.119999,43.759998,43.759998,45450800
2018-06-19,42.000000,42.369999,40.889999,41.889999,41.889999,27377500
2018-06-20,42.660000,42.720001,41.360001,41.680000,41.680000,16169900
2018-06-21,41.470001,41.590000,40.410000,40.820000,40.820000,14422100
2018-06-22,41.139999,41.189999,40.369999,40.820000,40.820000,9409900
2018-06-25,39.939999,40.000000,38.799999,39.180000,39.180000,17566700
2018-06-26,39.560001,39.759998,39.049999,39.470001,39.470001,10262200
2018-06-27,39.500000,40.209999,38.290001,38.389999,38.389999,15704000
2018-06-28,38.410000,38.980000,37.930000,38.930000,38.930000,9852700
2018-06-29,39.150002,39.869999,38.750000,38.950001,38.950001,10243900
2018-07-02,38.009998,38.799999,37.869999,38.790001,38.790001,12932300
2018-07-03,39.180000,39.209999,38.349998,38.380001,38.380001,5953300
2018-07-05,38.540001,38.869999,37.779999,38.540001,38.540001,9390600
2018-07-06,38.279999,39.529999,38.160000,39.459999,39.459999,11616800
2018-07-09,39.990002,40.040001,39.290001,39.400002,39.400002,9902600
2018-07-10,39.490002,39.959999,38.419998,38.590000,38.590000,10153700
2018-07-11,37.860001,38.230000,37.389999,37.950001,37.950001,10935300
2018-07-12,38.270000,38.770000,38.009998,38.520000,38.520000,9926600
2018-07-13,38.529999,38.770000,37.959999,38.270000,38.270000,6937000
